Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Maniototo","Total people, usual residence five years ago","Total people, age group","Total people, sex",1077,
"Naseby","Total people, usual residence five years ago","Total people, age group","Total people, sex",120,
"Dunstan","Total people, usual residence five years ago","Total people, age group","Total people, sex",4515,
"Clyde","Total people, usual residence five years ago","Total people, age group","Total people, sex",1011,
"Alexandra","Total people, usual residence five years ago","Total people, age group","Total people, sex",4800,
"Cromwell","Total people, usual residence five years ago","Total people, age group","Total people, sex",4146,
"Hawea","Total people, usual residence five years ago","Total people, age group","Total people, sex",2172,
"Inland Water-Lake Hawea","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Frankton","Total people, usual residence five years ago","Total people, age group","Total people, sex",1827,
"Wanaka","Total people, usual residence five years ago","Total people, age group","Total people, sex",6471,
"Glenorchy","Total people, usual residence five years ago","Total people, age group","Total people, sex",360,
"Kingston South","Total people, usual residence five years ago","Total people, age group","Total people, sex",237,
"Kelvin Heights","Total people, usual residence five years ago","Total people, age group","Total people, sex",1011,
"Sunshine Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",2358,
"Inland Water-Lake Wakatipu","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Lake Hayes","Total people, usual residence five years ago","Total people, age group","Total people, sex",318,
"Matukituki","Total people, usual residence five years ago","Total people, age group","Total people, sex",387,
"Inland Water-Lake Wanaka","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Outer Wakatipu","Total people, usual residence five years ago","Total people, age group","Total people, sex",654,
"Wakatipu Basin","Total people, usual residence five years ago","Total people, age group","Total people, sex",1104,
"Frankton East","Total people, usual residence five years ago","Total people, age group","Total people, sex",639,
"Lake Hayes South","Total people, usual residence five years ago","Total people, age group","Total people, sex",1635,
"Jacks Point","Total people, usual residence five years ago","Total people, age group","Total people, sex",297,
"Arrowtown","Total people, usual residence five years ago","Total people, age group","Total people, sex",2448,
"Queenstown Hill","Total people, usual residence five years ago","Total people, age group","Total people, sex",3534,
"Arthurs Point","Total people, usual residence five years ago","Total people, age group","Total people, sex",810,
"Queenstown Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",1962,
"Hyde","Total people, usual residence five years ago","Total people, age group","Total people, sex",75,
"Waikouaiti","Total people, usual residence five years ago","Total people, age group","Total people, sex",1122,
"Aramoana","Total people, usual residence five years ago","Total people, age group","Total people, sex",270,
"Waitati","Total people, usual residence five years ago","Total people, age group","Total people, sex",513,
"Evansdale","Total people, usual residence five years ago","Total people, age group","Total people, sex",1482,
"Karitane","Total people, usual residence five years ago","Total people, age group","Total people, sex",360,
"Warrington","Total people, usual residence five years ago","Total people, age group","Total people, sex",447,
"Fairfield","Total people, usual residence five years ago","Total people, age group","Total people, sex",2382,
